wheezy,adonthell,adonthell,0.3.5-7.1
wheezy,adonthell-data,adonthell-data,0.3.4.cvs.20080529+dfsg-3
wheezy,adplay,adplay,1.6-1.1
wheezy,adplug-utils,adplug,2.2.1+dfsg3-0.1
wheezy,adun.app,adun.app,0.81-5+b2
wheezy,advancecomp,advancecomp,1.15-1
wheezy,advene,advene,1.0-1
wheezy,advi,advi,1.10.2-1
wheezy,advi-examples,advi,1.10.2-1
wheezy,adzapper,adzapper,20090301.dfsg.1-0.2
wheezy,aegis,aegis,4.24.3-3
wheezy,aegis-doc,aegis,4.24.3-3
wheezy,aegis-tk,aegis,4.24.3-3
wheezy,aegisub,aegisub,2.1.9-1
wheezy,aegisub-l10n,aegisub,2.1.9-1
wheezy,aegis-web,aegis,4.24.3-3
wheezy,aeolus,aeolus,0.8.4-6
wheezy,aephea,aephea,10.008-2
wheezy,aes2501-wy,aes2501-wy,0.1-5
wheezy,aesfix,aesfix,1.0.1-2
wheezy,aeskeyfind,aeskeyfind,1:1.0-1
wheezy,aeskulap,aeskulap,0.2.2b1-11
wheezy,aespipe,aespipe,2.4c-1
wheezy,aewan,aewan,1.0.01-3
wheezy,aewm++,aewm++,1.1.2-5
wheezy,aewm,aewm,1.3.12-2.1
wheezy,aewm++-goodies,aewm++-goodies,1.0-9
wheezy,affiche.app,affiche,0.6.0-8+b2
wheezy,afflib-dbg,afflib,3.6.6-1.1+b1
wheezy,afflib-tools,afflib,3.6.6-1.1+b1
wheezy,afnix,afnix,2.2.0-2
wheezy,afnix-doc,afnix,2.2.0-2
wheezy,aft,aft,2:5.098-2
wheezy,afterstep,afterstep,2.2.11-7
wheezy,afterstep-data,afterstep,2.2.11-7
wheezy,afterstep-dbg,afterstep,2.2.11-7
wheezy,afuse,afuse,0.2-3+b1
wheezy,agave,agave,0.4.7-2.1+b1
wheezy,agda,agda,2.3.0.1-2
wheezy,agda-bin,agda-bin,2.3.0.1-1
wheezy,agda-mode,agda,2.3.0.1-2
wheezy,agda-stdlib,agda-stdlib,0.6-2
